;Description of the points/area;index_1;side_1;index_2;side_2;calculate;;
1;left side;1122;left;1141;right;angle;;0
2;;1116;left;1123;left;distance;;1
3;;1076;left;1122;left;distance;;2
4;righ side;1072;right;1142;right;distance;;3
5;;1099;right;1140;right;distance;;4
6;;1072;right;1124;left;distance;;5
