;Description of the points/area;index_1;side_1;index_2;side_2;calculate;;
1;;1072;left;1124;right;angle;;0
2;;1076;left;1118;right;angle;;1
3;;1142;left;1072;right;angle;;2
4;;1140;left;1099;right;angle;;3
